EPOCH 0
_____TRAINING DATA_____
BATCH 2 | Avg. Loss 1135.74951171875
BATCH 4 | Avg. Loss 890.5221557617188
BATCH 6 | Avg. Loss 908.6249389648438
BATCH 8 | Avg. Loss 602.8497314453125
BATCH 10 | Avg. Loss 472.25537109375
BATCH 12 | Avg. Loss 241.5517578125
BATCH 14 | Avg. Loss 328.7841796875
BATCH 16 | Avg. Loss 355.9452819824219
BATCH 18 | Avg. Loss 404.031494140625
BATCH 20 | Avg. Loss 305.6510009765625
BATCH 22 | Avg. Loss 273.32745361328125
BATCH 24 | Avg. Loss 294.33966064453125
BATCH 26 | Avg. Loss 257.44378662109375
BATCH 28 | Avg. Loss 265.5234069824219
BATCH 30 | Avg. Loss 120.23970031738281
BATCH 32 | Avg. Loss 149.51971435546875
BATCH 34 | Avg. Loss 168.384765625
BATCH 36 | Avg. Loss 154.00608825683594
BATCH 38 | Avg. Loss 220.4122314453125
BATCH 40 | Avg. Loss 275.4757385253906
BATCH 42 | Avg. Loss 221.4894561767578
BATCH 44 | Avg. Loss 190.67440795898438
BATCH 46 | Avg. Loss 268.4109802246094
BATCH 48 | Avg. Loss 200.5545196533203
BATCH 50 | Avg. Loss 171.6732635498047
BATCH 52 | Avg. Loss 191.642822265625
BATCH 54 | Avg. Loss 306.5884704589844


EPOCH 0
_____TRAINING DATA_____
BATCH 2 | Avg. Loss 1332.3082275390625
BATCH 4 | Avg. Loss 648.1177978515625
BATCH 6 | Avg. Loss 517.6629028320312
BATCH 8 | Avg. Loss 539.2377319335938
BATCH 10 | Avg. Loss 425.1858825683594
BATCH 12 | Avg. Loss 304.76226806640625
BATCH 14 | Avg. Loss 331.3775329589844
BATCH 16 | Avg. Loss 303.3537292480469
BATCH 18 | Avg. Loss 350.79632568359375
BATCH 20 | Avg. Loss 361.9989013671875
BATCH 22 | Avg. Loss 174.06578063964844
BATCH 24 | Avg. Loss 152.24179077148438
BATCH 26 | Avg. Loss 336.0920715332031
BATCH 28 | Avg. Loss 291.4470520019531
BATCH 30 | Avg. Loss 241.7232208251953
BATCH 32 | Avg. Loss 279.57470703125
BATCH 34 | Avg. Loss 182.3656768798828
BATCH 36 | Avg. Loss 207.05389404296875
BATCH 38 | Avg. Loss 245.294189453125
BATCH 40 | Avg. Loss 170.83187866210938
BATCH 42 | Avg. Loss 264.4765930175781
BATCH 44 | Avg. Loss 217.70709228515625
BATCH 46 | Avg. Loss 243.82296752929688
BATCH 48 | Avg. Loss 318.4500427246094
BATCH 50 | Avg. Loss 297.46112060546875
BATCH 52 | Avg. Loss 164.88577270507812
